Date : 2023-08-04 17:42:27
Directory : c:\Users\Gabriel\WeChatProjects\miniprogram-2
Total : 128 files,  10810 codes, 1223 comments, 2013 blanks, all 14046 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\cu-custom\cu-custom.json         | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\cu-custom\cu-custom.wxml         | WXML       |         20 |          1 |          0 |         21 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\cu-custom\cu-custom.wxss         | CSS        |          3 |          3 |          0 |          6 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\skeleton\skeleton.js             | JavaScript |         32 |         10 |          4 |         46 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\skeleton\skeleton.json           | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\skeleton\skeleton.wxml           | WXML       |          9 |          1 |          1 |         11 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\skeleton\skeleton.wxss           | CSS        |         34 |          2 |          7 |         43 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\dark.wxss                                   | CSS        |        132 |          6 |         30 |        168 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\icon-new.wxss                               | CSS        |        102 |          2 |          4 |        108 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\icon.wxss                                   | CSS        |        921 |          4 |        301 |      1,226 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\main.wxss                                   | CSS        |      5,283 |        175 |      1,070 |      6,528 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\event\main\main.js                            | JavaScript |         11 |         10 |          5 |         26 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\event\main\main.json                          | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\event\main\main.wxml                          | WXML       |        110 |          1 |          5 |        116 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\event\main\main.wxss                          | CSS        |          3 |          1 |          0 |          4 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\article\article.js                   | JavaScript |         34 |         29 |         19 |         82 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\article\article.json                 | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\article\article.wxml                 | WXML       |         27 |          6 |          9 |         42 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\article\article.wxss                 | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\complaint\complaint.js               | JavaScript |         20 |         28 |         18 |         66 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\complaint\complaint.json             | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\complaint\complaint.wxml             | WXML       |          1 |          1 |          1 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\complaint\complaint.wxss             | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\finance\finance.js                   | JavaScript |         20 |         28 |         18 |         66 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\finance\finance.json                 | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\finance\finance.wxml                 | WXML       |          1 |          1 |          1 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\finance\finance.wxss                 | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\main\main.js                         | JavaScript |        100 |         11 |          4 |        115 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\main\main.json                       | JSON       |          4 |          0 |          1 |          5 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\main\main.wxml                       | WXML       |         49 |         10 |          3 |         62 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\main\main.wxss                       | CSS        |          5 |          1 |          0 |          6 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\parknote\parknote.js                 | JavaScript |         20 |         28 |         18 |         66 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\parknote\parknote.json               | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\parknote\parknote.wxml               | WXML       |          1 |          1 |          1 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\parknote\parknote.wxss               | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partybuild\partybuild.js             | JavaScript |         65 |         41 |         15 |        121 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partybuild\partybuild.json           | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partybuild\partybuild.wxml           | WXML       |         57 |          7 |          3 |         67 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partybuild\partybuild.wxss           | CSS        |          0 |          1 |          1 |          2 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partygarden\partygarden.js           | JavaScript |         20 |         28 |         18 |         66 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partygarden\partygarden.json         | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partygarden\partygarden.wxml         | WXML       |          1 |          1 |          1 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partygarden\partygarden.wxss         | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\policylearn\policylearn.js           | JavaScript |         40 |         29 |         20 |         89 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\policylearn\policylearn.json         | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\policylearn\policylearn.wxml         | WXML       |         53 |          6 |          3 |         62 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\policylearn\policylearn.wxss         | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\quickfix\quickfix.js                 | JavaScript |        112 |         29 |         19 |        160 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\quickfix\quickfix.json               | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\quickfix\quickfix.wxml               | WXML       |         47 |         10 |          2 |         59 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\quickfix\quickfix.wxss               | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\form\form.js            | JavaScript |        158 |         45 |         26 |        229 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\form\form.json          | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\form\form.wxml          | WXML       |         97 |         14 |          1 |        112 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\form\form.wxss          | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\list\list.js            | JavaScript |         44 |         29 |         25 |         98 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\list\list.json          | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\list\list.wxml          | WXML       |         26 |          0 |          1 |         27 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\list\list.wxss          | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\registration.js         | JavaScript |         20 |         28 |         18 |         66 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\registration.json       | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\registration.wxml       | WXML       |         24 |          6 |          2 |         32 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\registration\registration.wxss       | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\rent\rent.js                         | JavaScript |         20 |         28 |         18 |         66 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\rent\rent.json                       | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\rent\rent.wxml                       | WXML       |          1 |          1 |          1 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\rent\rent.wxss                       | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\submithelp\submithelp.js             | JavaScript |         46 |         28 |         17 |         91 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\submithelp\submithelp.json           | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\submithelp\submithelp.wxml           | WXML       |         21 |          2 |          1 |         24 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\submithelp\submithelp.wxss           | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\supervision\supervison.js            | JavaScript |         20 |         28 |         18 |         66 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\supervision\supervison.json          | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\supervision\supervison.wxml          | WXML       |          1 |          1 |          1 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\supervision\supervison.wxss          | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\index\index.js                                | JavaScript |         67 |         32 |         15 |        114 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\index\index.json                              | JSON       |          8 |          0 |          0 |          8 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\index\index.wxml                              | WXML       |         34 |          4 |          4 |         42 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\index\index.wxss                              | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\category\index.js                        | JavaScript |        326 |         29 |         17 |        372 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\category\index.json                      | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\category\index.wxml                      | WXML       |         41 |          1 |          3 |         45 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\category\index.wxss                      | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\goods\index.js                           | JavaScript |         48 |         28 |         18 |         94 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\goods\index.json                         | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\goods\index.wxml                         | WXML       |         70 |          1 |          9 |         80 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\goods\index.wxss                         | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\main\main.js                             | JavaScript |        320 |         10 |          3 |        333 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\main\main.json                           | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\main\main.wxml                           | WXML       |         59 |          8 |          3 |         70 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\mall\main\main.wxss                           | CSS        |          3 |          1 |          0 |          4 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\account\account.js                         | JavaScript |         99 |         33 |         16 |        148 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\account\account.json                       | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\account\account.wxml                       | WXML       |         36 |          4 |          1 |         41 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\account\account.wxss                       | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\bills\bills.js                             | JavaScript |         53 |         28 |         18 |         99 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\bills\bills.json                           | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\bills\bills.wxml                           | WXML       |         72 |          1 |          5 |         78 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\bills\bills.wxss                           | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\main\main.js                               | JavaScript |        164 |         17 |          8 |        189 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\main\main.json                             | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\main\main.wxml                             | WXML       |         48 |          1 |          1 |         50 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\main\main.wxss                             | CSS        |          3 |          1 |          0 |          4 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\nickname\nickname.js                       | JavaScript |        103 |         35 |         21 |        159 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\nickname\nickname.json                     | JSON       |          3 |          0 |          0 |          3 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\nickname\nickname.wxml                     | WXML       |         12 |          1 |          4 |         17 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\my\nickname\nickname.wxss                     | CSS        |          0 |          1 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\project.config.json                                 | JSON       |         54 |          0 |          0 |         54 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\project.private.config.json                         | JSON       |         29 |          0 |          0 |         29 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\sitemap.json                                        | JSON       |          7 |          0 |          0 |          7 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\utils\WxValidate.js                                 | JavaScript |        241 |        142 |         35 |        418 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\utils\api.js                                        | JavaScript |         13 |          2 |          1 |         16 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\utils\utils.js                                      | JavaScript |        134 |         10 |         10 |        154 |
| Total                                                                                             |            |     10,810 |      1,223 |      2,013 |     14,046 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
